Model(SKU),Product Family/Collection,Product Category,Product Type,Product Title,Price US,Price CAN
4-10C,Bath,Mechanical Mixing Valves,,Symmons Mechanical Mixing Valve - Finish Product,97.2,110.95
S-71,Bath,Lavatory Faucets|Metering Faucets,,Symmons Metering Faucet without Temperature Selection (S-70 Series) - Finish Product,122.45,189.2
S-71-G,Bath,Lavatory Faucets|Metering Faucets,,Symmons Metering Faucet without Temperature Selection (S-70 Series) - Finish Product,148.75,209
S-72,Bath,Lavatory Faucets|Metering Faucets,,Symmons Metering Faucet without Temperature Selection (S-70 Series) - Finish Product,134.2,207.3
S-72-G,Bath,Lavatory Faucets|Metering Faucets,,Symmons Metering Faucet without Temperature Selection (S-70 Series) - Finish Product,160.5,227.3
S-73,Bath,Lavatory Faucets|Metering Faucets,,Symmons Metering Faucet without Temperature Selection (S-70 Series) - Finish Product,194.8,305.6
S-73-G,Bath,Lavatory Faucets|Metering Faucets,,Symmons Metering Faucet without Temperature Selection (S-70 Series) - Finish Product,221.1,325.4
S-74,Bath,Metering Faucets|Lavatory Faucets,,Symmons Metering Faucet without Temperature Selection (S-70 Series) - Finish Product,206.9,323.85
S-74-G,Bath,Metering Faucets|Lavatory Faucets,,Symmons Metering Faucet without Temperature Selection (S-70 Series) - Finish Product,233.1,343.6
CC,Bath,Miscellaneous Accessories,Traditional,Symmons Conversion Cover Plate - Finish Product,43.15,54.3
CC-STN,Bath,Miscellaneous Accessories,Traditional,Symmons Conversion Cover Plate - Finish Product,138.8,186.85
VB,Bath,Miscellaneous Accessories,Traditional,Symmons Vacuum Breaker - Finish Product,313.85,295.35
4-451,Bath,Diverter Valves,Transitional,Symmons Push-Button Diverter - Finish Product,151.7,180.7
4-440,Bath,Shower Arms and Head Brackets,Traditional,Symmons Extended Head Bracket - Finish Product,158.75,266.15
4-445,Bath,Shower Arms and Head Brackets,Traditional,Symmons Extended Head Bracket - Finish Product,167.85,266.15
HC-1,Bath,Grab Bars and Seats,,Symmons Shower Seat and Grab Bar - Finish Product,1960.8,2136.3
HC-2,Bath,Grab Bars and Seats,,Symmons Shower Seat and Grab Bar - Finish Product,1960.8,2136.3
HC-3,Bath,Grab Bars and Seats,,Symmons Shower Seat and Grab Bar - Finish Product,1863.9,2030.75
HC-4,Bath,Grab Bars and Seats,,Symmons Shower Seat and Grab Bar - Finish Product,1863.9,2030.75
4-135F,Bath,Showerheads,Traditional,Symmons 1 Mode Showerhead (Ball Joint Type) - Finish Product,58.15,68.7
4-137,Bath,Showerheads,Traditional,Symmons 1 Mode Showerhead (Ball Joint Type) - Finish Product,70.75,70.8
4-270F,Bath,Showerheads,Transitional,Symmons 1 Mode Showerhead (Ball Joint Type) - Finish Product,123.3,145.5
4-282F,Bath,Showerheads,Transitional,Symmons 1 Mode Showerhead (Ball Joint Type) - Finish Product,85.25,100.6
4-285F,Bath,Showerheads,Transitional,Symmons 1 Mode Showerhead (Ball Joint Type) - Finish Product,68.2,80.7
4-150,Bath,Showerheads,,Symmons 1 Mode Showerhead (Institutional Type) - Finish Product,159.4,188.35
4-150-15,Bath,Showerheads,,Symmons 1 Mode Showerhead (Institutional Type) - Finish Product,159.4,188.35
4-151,Bath,Showerheads,,Symmons 1 Mode Showerhead (Institutional Type) - Finish Product,312.75,369
4-295,Bath,Showerheads,,Symmons 1 Mode Showerhead (Institutional Type) - Finish Product,199.75,235.85
4-295-15,Bath,Showerheads,,Symmons 1 Mode Showerhead (Institutional Type) - Finish Product,199.75,235.85
4-385,Bath,Showerheads,,Symmons 1 Mode Showerhead (Institutional Type) - Finish Product,133.65,157.55
4-460,,,Transitional,Symmons Triple Outlet Diverter - Finish Product,171.6,238.45
7-1000,Bath,Thermostatic Water Controllers,,Symmons TempControl® Thermostatic Mixing Valve - Finish Product,2104.35,2683.45
7-1000-102-PRV,Bath,Thermostatic Water Controllers,,Symmons TempControl® Hi-Low Thermostatic Mixing Valve and Piping System - Finish Product,6486.7,6975.2
7-1000-200-PRV,Bath,Thermostatic Water Controllers,,Symmons TempControl® Hi-Low Thermostatic Mixing Valve and Piping System - Finish Product,6755.4,7260.05
7-1000A,Bath,Thermostatic Water Controllers,,Symmons TempControl® Thermostatic Mixing Valve and Piping Assembly - Finish Product,3399,3478.05
7-1000B,Bath,Thermostatic Water Controllers,,Symmons TempControl® Thermostatic Mixing Valve and Piping Assembly in Cabinet - Finish Product,4274.95,4228.45
7-1000B-102-PRV,Bath,Thermostatic Water Controllers,,Symmons TempControl® Hi-Low Thermostatic Mixing Valve and Piping System in Cabinet  - Finish Product,8543.55,9141.7
7-1000B-200-PRV,Bath,Thermostatic Water Controllers,,Symmons TempControl® Hi-Low Thermostatic Mixing Valve and Piping System in Cabinet - Finish Product,8648.75,9258.55
7-1000BW,Bath,Thermostatic Water Controllers,,Symmons TempControl® Thermostatic Mixing Valve and Piping Assembly in Cabinet with Cold Water By-pass - Finish Product,5422.8,5598.45
7-1000NW,Bath,Thermostatic Water Controllers,,Symmons TempControl® Thermostatic Mixing Valve Replacement Cartridge - Finish Product,1289.55,1418.5
7-102,Bath,Thermostatic Water Controllers,,Symmons TempControl® Thermostatic Mixing Valve - Finish Product,914.95,1048.8
7-102A,Bath,Thermostatic Water Controllers,,Symmons TempControl® Thermostatic Mixing Valve and Piping Assembly - Finish Product,1242.3,1666.3
7-102B,Bath,Thermostatic Water Controllers,,Symmons TempControl® Thermostatic Mixing Valve and Piping Assembly in Cabinet - Finish Product,2412,2323.55
7-102NW,Bath,Thermostatic Water Controllers,,Symmons TempControl® Thermostatic Mixing Valve Replacement Cartridge - Finish Product,874.95,962.4
7-200,Bath,Thermostatic Water Controllers,,Symmons TempControl® Thermostatic Mixing Valve - Finish Product,937.15,1097
7-200-102-PRV,Bath,Thermostatic Water Controllers,,Symmons TempControl® Hi-Low Thermostatic Mixing Valve and Piping System  - Finish Product,4087.7,4347.65
7-200A,Bath,Thermostatic Water Controllers,,Symmons TempControl® Thermostatic Mixing Valve and Piping Assembly - Finish Product,1645.45,1758.3
7-200B,Bath,Thermostatic Water Controllers,,Symmons TempControl® Thermostatic Mixing Valve and Piping Assembly in Cabinet - Finish Product,2460.2,2403.95
7-200B-102-PRV,Bath,Thermostatic Water Controllers,,Symmons TempControl® Hi-Low Thermostatic Mixing Valve and Piping System in Cabinet - Finish Product,6131.85,6505.4
7-200BW,Bath,Thermostatic Water Controllers,,Symmons TempControl® Thermostatic Mixing Valve and Piping Assembly in Cabinet with Cold Water By-Pass - Finish Product,3037.45,3326.5
7-200NW,Bath,Thermostatic Water Controllers,,Symmons TempControl® Thermostatic Mixing Valve Replacement Cartridge - Finish Product,837.25,920.9
7-400,Bath,Thermostatic Water Controllers,,Symmons TempControl® Thermostatic Mixing Valve  - Finish Product,1235.6,1392.35
7-400-102-PRV,Bath,Thermostatic Water Controllers,,Symmons TempControl® Hi-Low Thermostatic Mixing Valve and Piping System - Finish Product,4586.35,4874.8
7-400A,Bath,Thermostatic Water Controllers,,Symmons TempControl® Thermostatic Mixing Valve and Piping Assembly - Finish Product,2009.6,2030.65
