Model(SKU),Product Family/Collection,Product Category,Product Type,Product Title,Price US,Price CAN
300,Bath,Shower Arms and Head Brackets,Transitional,Symmons Shower Arm with Heavy Flange,$47.75 ,$52.00 
300,Bath,Shower Arms and Head Brackets,Transitional,Symmons Shower Arm with Heavy Flange + - Finish Product,$47.75 ,$52.00 
301,Bath,Shower Arms and Head Brackets,Transitional,Symmons Head Bracket,$55.65 ,$65.80 
301,Bath,Shower Arms and Head Brackets,Transitional,Symmons Head Bracket + - Finish Product,$55.65 ,$65.80 
304,Bath,Shower Arms and Head Brackets,Transitional,Symmons Shower Arm,$54.85 ,$59.75 
304,Bath,Shower Arms and Head Brackets,Transitional,Symmons Shower Arm + - Finish Product,$54.85 ,$59.75 
3600,Bath,Shower Valves|Shower and Tub Shower,Contemporary,Symmons Duroå¨ Valve and Trim,$249.20 ,$267.35 
3600,Bath,Shower Valves|Shower and Tub Shower,Contemporary,Symmons Duroå¨ Valve and Trim + - Finish Product,$249.20 ,$267.35 
3601,Bath,Shower Systems|Shower and Tub Shower,Contemporary,Symmons Duroå¨ Shower System,$303.40 ,$321.75 
3601,Bath,Shower Systems|Shower and Tub Shower,Contemporary,Symmons Duroå¨ Shower System + - Finish Product,$303.40 ,$321.75 
3602,Bath,Tub Shower Systems|Shower and Tub Shower,Contemporary,Symmons Duroå¨ Tub/Shower System,$334.60 ,$334.30 
3602,Bath,Tub Shower Systems|Shower and Tub Shower,Contemporary,Symmons Duroå¨ Tub/Shower System + - Finish Product,$334.60 ,$334.30 
4100,Bath,Shower Valves|Shower and Tub Shower,Contemporary,Symmons Naruå¨ Shower Valve and Trim,$539.20 ,$572.90 
4100,Bath,Shower Valves|Shower and Tub Shower,Contemporary,Symmons Naruå¨ Shower Valve and Trim + - Finish Product,$539.20 ,$572.90 
4101,Bath,Shower Systems|Shower and Tub Shower,Contemporary,Symmons Naruå¨ Shower System,$618.35 ,$657.45 
4101,Bath,Shower Systems|Shower and Tub Shower,Contemporary,Symmons Naruå¨ Shower System + - Finish Product,$618.35 ,$657.45 
4103,Bath,Hand Shower Systems|Shower and Tub Shower,Contemporary,Symmons Naruå¨ Hand Shower System,$828.05 ,$976.10 
4103,Bath,Hand Shower Systems|Shower and Tub Shower,Contemporary,Symmons Naruå¨ Hand Shower System + - Finish Product,$828.05 ,$976.10 
4105,Bath,Shower Hand Shower Systems|Shower and Tub Shower,Contemporary,Symmons Naruå¨ Shower/Hand Shower System,"$1,369.65 ","$1,461.55 "
4105,Bath,Shower Hand Shower Systems|Shower and Tub Shower,Contemporary,Symmons Naruå¨ Shower/Hand Shower System + - Finish Product,"$1,369.65 ","$1,461.55 "
4106,Bath,Tub Shower Hand Shower Systems|Shower and Tub Shower,Contemporary,Symmons Naruå¨ Tub/Shower/Hand Shower System,"$1,556.10 ","$1,661.40 "
4106,Bath,Tub Shower Hand Shower Systems|Shower and Tub Shower,Contemporary,Symmons Naruå¨ Tub/Shower/Hand Shower System + - Finish Product,"$1,556.10 ","$1,661.40 "
4200,Bath,Shower Valves|Shower and Tub Shower,Traditional,Symmons Oxfordå¨ Shower Valve and Trim,$540.80 ,$578.05 
4200,Bath,Shower Valves|Shower and Tub Shower,Traditional,Symmons Oxfordå¨ Shower Valve and Trim + - Finish Product,$540.80 ,$578.05 
4201,Bath,Shower Systems|Shower and Tub Shower,Traditional,Symmons Oxfordå¨ Shower System,$624.20 ,$659.50 
4201,Bath,Shower Systems|Shower and Tub Shower,Traditional,Symmons Oxfordå¨ Shower System + - Finish Product,$624.20 ,$659.50 
4202,Bath,Tub Shower Systems|Shower and Tub Shower,Traditional,Symmons Oxfordå¨ Tub/Shower System,$697.75 ,$784.75 
4202,Bath,Tub Shower Systems|Shower and Tub Shower,Traditional,Symmons Oxfordå¨ Tub/Shower System + - Finish Product,$697.75 ,$784.75 
4203,Bath,Hand Shower Systems|Shower and Tub Shower,Traditional,Symmons Oxfordå¨ Hand Shower System,$850.35 ,$901.25 
4203,Bath,Hand Shower Systems|Shower and Tub Shower,Traditional,Symmons Oxfordå¨ Hand Shower System + - Finish Product,$850.35 ,$901.25 
4205,Bath,Shower Hand Shower Systems|Shower and Tub Shower,Traditional,Symmons Oxfordå¨ Shower/Hand Shower System,"$1,134.30 ","$1,265.60 "
4205,Bath,Shower Hand Shower Systems|Shower and Tub Shower,Traditional,Symmons Oxfordå¨ Shower/Hand Shower System + - Finish Product,"$1,134.30 ","$1,265.60 "
4206,Bath,Tub Shower Hand Shower Systems|Shower and Tub Shower,Traditional,Symmons Oxfordå¨ Tub/Shower/Hand Shower System,"$1,171.50 ","$1,425.70 "
4206,Bath,Tub Shower Hand Shower Systems|Shower and Tub Shower,Traditional,Symmons Oxfordå¨ Tub/Shower/Hand Shower System + - Finish Product,"$1,171.50 ","$1,425.70 "
4300,Bath,Shower Valves|Shower and Tub Shower,Contemporary,Symmons Serenoå¨ Valve and Trim,$429.55 ,$451.85 
4300,Bath,Shower Valves|Shower and Tub Shower,Contemporary,Symmons Serenoå¨ Valve and Trim + - Finish Product,$429.55 ,$451.85 
4301,Bath,Shower Systems|Shower and Tub Shower,Contemporary,Symmons Serenoå¨ Shower System,$540.70 ,$570.60 
4301,Bath,Shower Systems|Shower and Tub Shower,Contemporary,Symmons Serenoå¨ Shower System + - Finish Product,$540.70 ,$570.60 
4303,Bath,Hand Shower Systems|Shower and Tub Shower,Contemporary,Symmons Serenoå¨ Hand Shower System,$695.00 ,$735.35 
4303,Bath,Hand Shower Systems|Shower and Tub Shower,Contemporary,Symmons Serenoå¨ Hand Shower System + - Finish Product,$695.00 ,$735.35 
4305,Bath,Shower Hand Shower Systems|Shower and Tub Shower,Contemporary,Symmons Serenoå¨ Shower/Hand Shower System,"$1,003.80 ","$1,126.30 "
4305,Bath,Shower Hand Shower Systems|Shower and Tub Shower,Contemporary,Symmons Serenoå¨ Shower/Hand Shower System + - Finish Product,"$1,003.80 ","$1,126.30 "
4306,Bath,Tub Shower Hand Shower Systems|Shower and Tub Shower,Contemporary,Symmons Serenoå¨ Tub/Shower/Hand Shower System,"$1,052.30 ","$1,235.15 "
4306,Bath,Tub Shower Hand Shower Systems|Shower and Tub Shower,Contemporary,Symmons Serenoå¨ Tub/Shower/Hand Shower System + - Finish Product,"$1,052.30 ","$1,235.15 "
